Time,Susceptible,Exposed,Infected,Recovered/Vaccinated,Total Population
274,570972.6869816025,316.9397495122605,2240.3366076580496,37221700.28521908,33335064.506011408
275,568107.4634752718,293.2987147682777,2081.276875875177,37235701.45676764,33330829.253189057
276,565257.8538217015,271.4030717032546,1933.372896180944,37249622.54432518,33326288.964711156
277,562423.6809953018,251.12530916874044,1795.8527726301995,37263464.66676409,33321454.127457313
278,559604.7762001955,232.34713504049674,1667.9972070527806,37277228.88756701,33316335.65479969
279,556800.9782910483,214.95881588801703,1549.1359783628702,37290916.2185,33310944.8634052
280,554012.1332356683,198.85856361738777,1438.644652007309,37304527.62303996,33305293.447926447
281,551238.0936169234,183.95196609198902,1335.9415075717504,37318064.01956997,33299393.45493884
282,548478.7181701266,170.15145790400558,1240.4846657210733,37331526.28436284,33293257.25567808
283,545733.8713540775,157.37582895501603,1151.7694051374997,37344915.25436318,33286897.51393224
284,543003.422953381,145.54976800531296,1069.3256577298089,37358231.72978124,33280327.157940157
285,540287.2477091926,134.60343850858357,992.7156674772449,37371476.47651387,33273559.347042195
286,537585.2249770088,124.47208490031872,921.531805511098,37384650.228400886,33266607.439659156
287,534897.2384092723,115.09566692662875,855.3945300383209,37397753.68932908,33259484.959644113
288,532223.1756608735,106.41851986122163,793.9504812042821,37410787.53519483,33252205.562221207
289,529562.9281161207,98.38903897829944,736.8707031311409,37423752.41573339,33244783.000094093
290,526916.390635631,90.95938673865861,683.848984698367,37436648.95622397,33237231.0883789
291,524283.4613215779,84.08522078553091,634.6003108872792,37449477.759079404,33229563.67049925
292,521664.04130010627,77.72544142707083,588.8594181344283,37462239.4053275,33221794.58370974
293,519058.03451923747,71.84195681614621,546.3794447179597,37474934.45599358,33213937.624631934
294,516465.34756216087,66.39946563096464,506.9306749217078,37487563.45338547,33206006.517007403
295,513885.88947338,61.365254518738354,470.2993638873008,37500126.92229506,33198014.87722355
296,511319.571598183,56.709010830019515,436.2866446042502,37512625.37111442,33189976.184094936
297,508766.30743336503,52.402648159132745,404.70750645665294,37525059.29287848,33181903.74739401
298,506226.01248907804,48.42014468132831,375.3898437981694,37537429.16623505,33173810.67771806
299,503698.60416075593,44.73739318032359,348.17356875683913,37549735.45634884,33165709.85853962
300,501184.00161020545,41.33206159822831,322.90978316943034,37561978.61574448,33157613.91837168
301,498682.12565568986,38.18346396214079,299.46000819641773,37574159.08509047,33149535.206416003
302,496192.8986696673,35.272440208257095,277.6954643234683,37586277.2939313,33141485.76715596
303,493716.2444843535,32.58124502165285,257.4964021794212,37598333.661367506,33133477.318921544
304,491252.08830382035,30.09344435108547,238.75147694197594,37610328.59669129,33125521.232235644
305,488800.35662291857,27.79381985515257,221.35716749467073,37622262.49997612,33117628.51192247
306,486360.9771517286,25.668279768221286,205.21723321663546,37634135.76262822,33109809.779097542
307,483933.8787457525,23.70377648306617,190.24220905458554,37645948.76789892,33102075.25646722
308,481518.99134113,21.88823004514237,176.34893478462644,37657701.891362235,33094434.754483134
309,479116.2458945519,20.210457144282753,163.46011637634967,37669395.501359805,33086897.659463976
310,476725.5743276265,18.660105370432593,151.50391782649618,37681029.95941491,33079472.923587404
311,474346.90947515046,17.22759207718994,140.41358021574862,37692605.62061886,33072169.056887016
312,471980.1850373416,15.904047857959005,130.1270681232006,37704122.83398979,33064994.120945238
313,469625.3355352976,14.681263902076168,120.58673896024736,37715581.942808196,33057955.723946877
314,467282.29626994935,13.551643507014132,111.73903656172918,37726983.28492792,33051061.01756002
315,464951.0032837121,12.508156773997246,103.53420436950941,37738327.19306746,33044316.69548873
316,462631.3933251766,11.544298912770266,95.92601994642268,37749613.99507976,33037728.99277821
317,460323.40381609637,10.654051317568355,88.87154637694817,37760844.014205,33031303.687800936
318,458026.9728209819,9.831845721336899,82.33090223921685,37772017.569304675,33025046.104786403
319,455742.0390186804,9.072530771624201,76.26704629944282,37783134.97508099,33018961.118179444
320,453468.5416761522,8.371341242494731,70.64557806396351,37794196.54228019,33013053.157195497
321,451206.42062400526,7.723869334495196,65.43455153918364,37805202.57788281,33007326.212306283
322,448955.61623384926,7.126038171318392,60.60430237035822,37816153.38528042,33001783.842297472
323,446716.0693972192,6.574077217581503,56.127286754041876,37827049.26444071,32996429.18307976
324,444487.721505999,6.06449949650837,51.97793162449605,37837890.51206113,32991264.956384078
